Latitude (decimal degrees):	47.596
Longitude (decimal degrees):	1.818
Elevation (m):	121
Radiation database:	PVGIS-CMSAF


Slope: 35 deg. (opt) (optimum)
Azimuth: -8 deg. (opt) (optimum)
Nominal power of the PV system (crystalline silicon) (kWp):	1.0
System losses (%):	 14.0
Date,EPV,G_i,As,Tamb,W10,int.
20070101:0055,0.00,0.00,0.00,13.36,9.01,0
20070101:0155,0.00,0.00,0.00,12.76,9.01,0
20070101:0255,0.00,0.00,0.00,12.17,9.01,0
20070101:0355,0.00,0.00,0.00,11.58,9.01,0
20070101:0455,0.00,0.00,0.00,11.08,8.84,0
20070101:0555,0.00,0.00,0.00,10.59,8.67,0
20070101:0655,0.00,0.00,0.00,10.10,8.50,0
20070101:0755,10.18,23.50,1.19,9.79,8.16,0
20070101:0855,102.65,133.76,8.60,9.48,7.82,0
20070101:0955,361.61,418.80,14.38,9.18,7.48,0
20070101:1055,70.46,97.92,18.10,9.51,7.53,0
20070101:1155,243.22,289.24,19.40,9.84,7.58,0
20070101:1255,102.55,134.50,18.13,10.17,7.63,0
20070101:1355,67.82,94.88,14.45,9.93,6.80,0
20070101:1455,92.79,123.77,8.69,9.68,5.97,0
20070101:1555,11.49,25.36,1.30,9.44,5.14,0
20070101:1655,0.00,0.00,0.00,8.78,5.46,0
20070101:1755,0.00,0.00,0.00,8.13,5.78,0
20070101:1855,0.00,0.00,0.00,7.47,6.10,0
20070101:1955,0.00,0.00,0.00,7.14,7.97,0
20070101:2055,0.00,0.00,0.00,6.81,9.84,0
20070101:2155,0.00,0.00,0.00,6.48,11.71,0
20070101:2255,0.00,0.00,0.00,6.24,11.37,0
20070101:2355,0.00,0.00,0.00,6.00,11.04,0
20070102:0055,0.00,0.00,0.00,5.76,10.70,0
20070102:0155,0.00,0.00,0.00,5.41,9.65,0
20070102:0255,0.00,0.00,0.00,5.06,8.59,0
20070102:0355,0.00,0.00,0.00,4.72,7.53,0
20070102:0455,0.00,0.00,0.00,4.81,7.29,0
20070102:0555,0.00,0.00,0.00,4.90,7.05,0
20070102:0655,0.00,0.00,0.00,5.00,6.81,0
20070102:0755,7.18,18.70,1.20,5.35,7.00,0
20070102:0855,79.35,105.78,8.63,5.71,7.18,0
20070102:0955,100.67,129.78,14.43,6.07,7.37,0
20070102:1055,350.82,401.95,18.16,6.58,7.85,0
20070102:1155,189.54,227.44,19.48,7.09,8.34,0
20070102:1255,1.60,9.30,18.23,7.60,8.83,0
20070102:1355,28.88,47.99,14.56,7.38,8.60,0
20070102:1455,71.91,98.64,8.81,7.17,8.37,0
20070102:1555,8.27,20.45,1.43,6.95,8.14,0
20070102:1655,0.00,0.00,0.00,6.72,7.38,0
20070102:1755,0.00,0.00,0.00,6.50,6.63,0
20070102:1855,0.00,0.00,0.00,6.27,5.88,0
20070102:1955,0.00,0.00,0.00,6.07,5.63,0
20070102:2055,0.00,0.00,0.00,5.87,5.38,0
20070102:2155,0.00,0.00,0.00,5.67,5.13,0
20070102:2255,0.00,0.00,0.00,5.50,4.78,0
20070102:2355,0.00,0.00,0.00,5.33,4.42,0
20070103:0055,0.00,0.00,0.00,5.17,4.07,0
20070103:0155,0.00,0.00,0.00,5.01,3.94,0
20070103:0255,0.00,0.00,0.00,4.85,3.82,0
20070103:0355,0.00,0.00,0.00,4.70,3.70,0
20070103:0455,0.00,0.00,0.00,4.31,3.31,0
20070103:0555,0.00,0.00,0.00,3.92,2.93,0
20070103:0655,0.00,0.00,0.00,3.54,2.55,0
20070103:0755,9.12,21.49,1.22,3.79,2.83,0
20070103:0855,62.06,86.25,8.66,4.05,3.11,0
20070103:0955,126.28,157.19,14.48,4.31,3.39,0
20070103:1055,42.81,64.60,18.24,5.63,3.77,0
20070103:1155,114.08,145.95,19.57,6.95,4.15,0
20070103:1255,161.61,198.95,18.35,8.27,4.52,0
20070103:1355,59.91,85.28,14.68,8.29,4.44,0
20070103:1455,58.97,84.35,8.94,8.31,4.35,0
20070103:1555,10.49,23.83,1.56,8.33,4.26,0
20070103:1655,0.00,0.00,0.00,7.92,4.47,0
20070103:1755,0.00,0.00,0.00,7.52,4.69,0
20070103:1855,0.00,0.00,0.00,7.11,4.90,0
20070103:1955,0.00,0.00,0.00,6.93,5.23,0
20070103:2055,0.00,0.00,0.00,6.74,5.56,0
20070103:2155,0.00,0.00,0.00,6.56,5.89,0
20070103:2255,0.00,0.00,0.00,6.75,6.16,0
20070103:2355,0.00,0.00,0.00,6.93,6.43,0
20070104:0055,0.00,0.00,0.00,7.12,6.70,0
20070104:0155,0.00,0.00,0.00,7.41,6.88,0
20070104:0255,0.00,0.00,0.00,7.70,7.05,0
20070104:0355,0.00,0.00,0.00,8.00,7.23,0
20070104:0455,0.00,0.00,0.00,8.46,7.30,0
20070104:0555,0.00,0.00,0.00,8.92,7.37,0
20070104:0655,0.00,0.00,0.00,9.38,7.45,0
20070104:0755,5.04,15.56,1.24,9.57,7.43,0
20070104:0855,31.51,51.65,8.70,9.77,7.40,0
20070104:0955,26.09,44.93,14.54,9.97,7.38,0
20070104:1055,70.88,98.50,18.32,9.76,7.16,0
20070104:1155,107.30,139.62,19.67,9.55,6.95,0
20070104:1255,78.09,106.60,18.46,9.34,6.73,0
20070104:1355,0.53,6.99,14.81,9.38,6.57,0
20070104:1455,32.02,52.29,9.08,9.43,6.42,0
20070104:1555,0.38,6.62,1.70,9.47,6.26,0
20070104:1655,0.00,0.00,0.00,9.04,6.00,0
20070104:1755,0.00,0.00,0.00,8.60,5.74,0
20070104:1855,0.00,0.00,0.00,8.17,5.48,0
20070104:1955,0.00,0.00,0.00,7.94,5.37,0
20070104:2055,0.00,0.00,0.00,7.70,5.26,0
20070104:2155,0.00,0.00,0.00,7.47,5.16,0
20070104:2255,0.00,0.00,0.00,7.57,5.05,0
20070104:2355,0.00,0.00,0.00,7.66,4.94,0
20070105:0055,0.00,0.00,0.00,7.76,4.83,0
20070105:0155,0.00,0.00,0.00,7.48,4.66,0
20070105:0255,0.00,0.00,0.00,7.20,4.49,0
20070105:0355,0.00,0.00,0.00,6.93,4.32,0
20070105:0455,0.00,0.00,0.00,6.92,4.22,0
20070105:0555,0.00,0.00,0.00,6.91,4.11,0
20070105:0655,0.00,0.00,0.00,6.90,4.01,0
20070105:0755,8.89,21.41,1.27,7.19,4.14,0
20070105:0855,51.23,74.89,8.74,7.48,4.27,0
20070105:0955,89.85,118.94,14.60,7.78,4.40,0
20070105:1055,67.34,94.02,18.40,8.38,4.90,0
20070105:1155,110.99,143.56,19.78,8.99,5.40,0
20070105:1255,89.65,119.86,18.59,9.60,5.90,0
20070105:1355,61.00,87.06,14.95,9.82,5.35,0
20070105:1455,51.13,75.65,9.22,10.05,4.80,0
20070105:1555,10.69,24.29,1.85,10.27,4.25,0
20070105:1655,0.00,0.00,0.00,9.89,4.23,0
20070105:1755,0.00,0.00,0.00,9.51,4.21,0
20070105:1855,0.00,0.00,0.00,9.13,4.19,0
20070105:1955,0.00,0.00,0.00,9.20,4.48,0
20070105:2055,0.00,0.00,0.00,9.28,4.77,0
20070105:2155,0.00,0.00,0.00,9.35,5.06,0
20070105:2255,0.00,0.00,0.00,9.54,5.15,0
20070105:2355,0.00,0.00,0.00,9.72,5.24,0
20070106:0055,0.00,0.00,0.00,9.91,5.32,0
20070106:0155,0.00,0.00,0.00,9.95,5.40,0
20070106:0255,0.00,0.00,0.00,9.99,5.47,0
20070106:0355,0.00,0.00,0.00,10.04,5.54,0
20070106:0455,0.00,0.00,0.00,10.05,5.56,0
20070106:0555,0.00,0.00,0.00,10.06,5.58,0
20070106:0655,0.00,0.00,0.00,10.08,5.60,0
20070106:0755,0.00,5.32,1.31,10.24,5.77,0
20070106:0855,5.48,16.34,8.80,10.40,5.94,0
20070106:0955,0.43,6.76,14.68,10.57,6.11,0
20070106:1055,1.58,9.35,18.50,10.66,6.33,0
20070106:1155,29.11,48.91,19.90,10.75,6.55,0
20070106:1255,30.23,50.35,18.72,10.84,6.77,0
20070106:1355,0.54,7.03,15.09,10.99,6.98,0
20070106:1455,5.86,16.98,9.37,11.13,7.20,0
20070106:1555,0.17,6.11,2.00,11.28,7.41,0
20070106:1655,0.00,0.00,0.00,11.23,7.42,0
20070106:1755,0.00,0.00,0.00,11.19,7.43,0
20070106:1855,0.00,0.00,0.00,11.14,7.45,0
20070106:1955,0.00,0.00,0.00,11.01,7.42,0
20070106:2055,0.00,0.00,0.00,10.87,7.39,0
20070106:2155,0.00,0.00,0.00,10.74,7.37,0
20070106:2255,0.00,0.00,0.00,10.47,6.64,0
20070106:2355,0.00,0.00,0.00,10.20,5.92,0
20070107:0055,0.00,0.00,0.00,9.94,5.20,0
20070107:0155,0.00,0.00,0.00,9.29,4.44,0
20070107:0255,0.00,0.00,0.00,8.65,3.68,0
20070107:0355,0.00,0.00,0.00,8.01,2.92,0
20070107:0455,0.00,0.00,0.00,7.66,2.65,0
20070107:0555,0.00,0.00,0.00,7.32,2.38,0
20070107:0655,0.00,0.00,0.00,6.98,2.11,0
20070107:0755,12.71,26.90,1.35,7.14,2.53,0
20070107:0855,123.34,156.40,8.86,7.31,2.95,0
20070107:0955,195.16,235.12,14.76,7.48,3.37,0
20070107:1055,162.90,200.22,18.60,7.95,4.20,0
20070107:1155,375.28,436.26,20.02,8.43,5.03,0
20070107:1255,124.35,158.22,18.86,8.90,5.86,0
20070107:1355,110.09,142.32,15.24,9.12,5.48,0
20070107:1455,116.25,150.20,9.53,9.35,5.09,0
20070107:1555,15.65,31.19,2.16,9.57,4.70,0
20070107:1655,0.00,0.00,0.00,9.40,4.92,0
20070107:1755,0.00,0.00,0.00,9.24,5.14,0
20070107:1855,0.00,0.00,0.00,9.07,5.35,0
20070107:1955,0.00,0.00,0.00,9.12,5.83,0
20070107:2055,0.00,0.00,0.00,9.16,6.31,0
20070107:2155,0.00,0.00,0.00,9.21,6.79,0
20070107:2255,0.00,0.00,0.00,9.34,7.11,0
